Distance_(m),Gray_Value
0.000000,2.0000
0.000062,2.0194
0.000123,3.6667
0.000185,6.5269
0.000246,6.5735
0.000308,2.7831
0.000370,0.2562
0.000431,1.2989
0.000493,3.6667
0.000555,6.2475
0.000616,5.2397
0.000678,4.1970
0.000739,2.4338
0.000801,4.1116
0.000863,4.7899
0.000924,4.3173
0.000986,4.6667
0.001047,4.7986
0.001109,5.3333
0.001171,6.1121
0.001232,2.5114
0.001294,2.5036
0.001355,2.1708
0.001417,2.4464
0.001479,2.4658
0.001540,2.9578
0.001602,3.9694
0.001664,3.9811
0.001725,4.0146
0.001787,3.1038
0.001848,2.2329
0.001910,1.6016
0.001972,1.6211
0.002033,2.0247
0.002095,3.4585
0.002156,4.0742
0.002218,4.2154
0.002280,4.1844
0.002341,4.2242
0.002403,4.1208
0.002464,2.2421
0.002526,1.2732
0.002588,0.4891
0.002649,0.9985
0.002711,1.7880
0.002773,2.2213
0.002834,3.7026
0.002896,3.1126
0.002957,3.6172
0.003019,3.0961
0.003081,3.5526
0.003142,4.5633
0.003204,4.7186
0.003265,3.4323
0.003327,3.0378
0.003389,3.0674
0.003450,3.0869
0.003512,3.1063
0.003573,2.4503
0.003635,2.6667
0.003697,7.1368
0.003758,7.7103
0.003820,8.4440
0.003882,7.7336
0.003943,7.2547
0.004005,6.7385
0.004066,6.7191
0.004128,6.8535
0.004190,8.4449
0.004251,7.1965
0.004313,5.2829
0.004374,2.8661
0.004436,1.5924
0.004498,0.2999
0.004559,1.1383
0.004621,2.0000
0.004682,1.8850
0.004744,2.0000
0.004806,1.2445
0.004867,1.1334
0.004929,0.0684
0.004991,0.0000
0.005052,1.0451
0.005114,1.0558
0.005175,4.6885
0.005237,4.6667
0.005299,4.6667
0.005360,4.6667
0.005422,4.6667
0.005483,4.6667
0.005545,3.6667
0.005607,3.6667
0.005668,3.5953
0.005730,2.6114
0.005791,2.0000
0.005853,2.0000
0.005915,2.1965
0.005976,3.9258
0.006038,4.0432
0.006100,5.9214
0.006161,4.9408
0.006223,5.7841
0.006284,5.9796
0.006346,6.1320
0.006408,6.0184
0.006469,5.0378
0.006531,4.9010
0.006592,4.1587
0.006654,4.6667
0.006716,4.6667
0.006777,5.3857
0.006839,5.6667
0.006900,4.6667
0.006962,3.6667
0.007024,2.2183
0.007085,2.0000
0.007147,0.0000
0.007209,0.0000
0.007270,3.6667
0.007332,5.2809
0.007393,2.6667
0.007455,1.0000
0.007517,1.0000
0.007578,1.0000
0.007640,1.0000
0.007701,1.4556
0.007763,2.0000
0.007825,2.6667
0.007886,2.6667
0.007948,2.0000
0.008009,1.4862
0.008071,1.4745
0.008133,2.2344
0.008194,1.7521
0.008256,2.7327
0.008318,3.5226
0.008379,4.0830
0.008441,4.0713
0.008502,3.4527
0.008564,3.0480
0.008626,6.5294
0.008687,4.7409
0.008749,3.3595
0.008810,4.3362
0.008872,6.8821
0.008934,7.5410
0.008995,6.6667
0.009057,5.3785
0.009118,2.6667
0.009180,3.6667
0.009242,4.6667
0.009303,6.4250
0.009365,7.3333
0.009427,6.3333
0.009488,6.1955
0.009550,5.4716
0.009611,0.8166
0.009673,1.8282
0.009735,2.6667
0.009796,2.8151
0.009858,2.0912
0.009919,2.0000
0.009981,0.0000
0.010043,0.0000
0.010104,2.6065
0.010166,2.0000
0.010228,0.9330
0.010289,0.0000
0.010351,0.0000
0.010412,0.9680
0.010474,2.0000
0.010536,2.6521
0.010597,1.0000
0.010659,1.0146
0.010720,2.0175
0.010782,2.7045
0.010844,2.7162
0.010905,1.0611
0.010967,0.0728
0.011028,0.0000
0.011090,0.9039
0.011152,1.0000
0.011213,2.0000
0.011275,2.0000
0.011337,2.0000
0.011398,2.5638
0.011460,1.8341
0.011521,1.6448
0.011583,2.5405
0.011645,2.0000
0.011706,2.6667
0.011768,2.6667
0.011829,2.6667
0.011891,2.6667
0.011953,2.0000
0.012014,2.0000
0.012076,2.0000
0.012137,2.0000
0.012199,2.0000
0.012261,2.0000
0.012322,2.0000
0.012384,2.0000
0.012446,2.0000
0.012507,2.0000
0.012569,2.0000
0.012630,2.0000
0.012692,2.0000
0.012754,2.0000
0.012815,2.0000
0.012877,2.0000
0.012938,2.0000
0.013000,2.0000
0.013062,0.0000
0.013123,0.4803
0.013185,0.4920
0.013246,0.4964
0.013308,0.0000
0.013370,0.5269
0.013431,1.0000
0.013493,1.0000
0.013555,1.0000
0.013616,1.0000
0.013678,1.0000
0.013739,1.0000
0.013801,1.0000
0.013863,1.0000
0.013924,1.0000
0.013986,1.0000
0.014047,0.3450
0.014109,1.3333
0.014171,2.0000
0.014232,2.4600
0.014294,2.4677
0.014355,2.0000
0.014417,1.2751
0.014479,0.2635
0.014540,1.0000
0.014602,1.0000
0.014664,2.0000
0.014725,2.0000
0.014787,2.0000
0.014848,2.0000
0.014910,1.0000
0.014972,1.0000
0.015033,1.2644
0.015095,2.6667
0.015156,3.8020
0.015218,4.6667
0.015280,4.6667
0.015341,4.5662
0.015403,3.5779
0.015464,3.5895
0.015526,2.6230
0.015588,2.6308
0.015649,2.0281
0.015711,2.0204
0.015773,2.0126
0.015834,2.0049
0.015896,2.6667
0.015957,2.6827
0.016019,2.6667
0.016081,3.6667
0.016142,3.6667
0.016204,4.6667
0.016265,4.6667
0.016327,3.6667
0.016389,3.6667
0.016450,2.6667
0.016512,1.1208
0.016573,2.0883
0.016635,2.6667
0.016697,2.8224
0.016758,3.8341
0.016820,3.8457
0.016882,3.8574
0.016943,3.6667
0.017005,3.4527
0.017066,3.4410
0.017128,3.4294
0.017190,3.4178
0.017251,3.4061
0.017313,3.3945
0.017374,3.3828
0.017436,3.3712
0.017498,3.1548
0.017559,2.0000
0.017621,1.0000
0.017682,0.0000
0.017744,0.0000
0.017806,1.0000
0.017867,2.0000
0.017929,2.6667
0.017991,2.2669
0.018052,2.6667
0.018114,3.0902
0.018175,3.6667
0.018237,3.6667
0.018299,3.1252
0.018360,2.6667
0.018422,2.3212
0.018483,5.8486
0.018545,5.4915
0.018607,4.1499
0.018668,3.1383
0.018730,2.6667
0.018791,2.6667
0.018853,3.2300
0.018915,3.8166
0.018976,3.2533
0.019038,2.6667
0.019100,2.6667
0.019161,3.6667
0.019223,5.3333
0.019284,4.9034
0.019346,2.5725
0.019408,0.8850
0.019469,5.5075
0.019531,6.1562
0.019592,6.8908
0.019654,7.5706
0.019716,8.2737
0.019777,9.2620
0.019839,9.2504
0.019901,10.0000
0.019962,9.2271
0.020024,8.2154
0.020085,6.4076
0.020147,7.1921
0.020209,8.1805
0.020270,9.0000
0.020332,9.8428
0.020393,8.7089
0.020455,4.3333
0.020517,5.3333
0.020578,6.0000
0.020640,5.2344
0.020701,3.6667
0.020763,2.6667
0.020825,3.6667
0.020886,4.3333
0.020948,8.1087
0.021010,7.0873
0.021071,5.3624
0.021133,4.3392
0.021194,3.6608
0.021256,3.6667
0.021318,3.6861
0.021379,5.3605
0.021441,9.3159
0.021502,9.3333
0.021564,9.3333
0.021626,11.2460
0.021687,14.5677
0.021749,17.3333
0.021810,20.7889
0.021872,22.5119
0.021934,21.9515
0.021995,22.0524
0.022057,23.6667
0.022119,23.6667
0.022180,24.5255
0.022242,24.3333
0.022303,25.5230
0.022365,25.1514
0.022427,27.8409
0.022488,28.6667
0.022550,27.3333
0.022611,26.6070
0.022673,25.1902
0.022735,23.1354
0.022796,22.3581
0.022858,20.6798
0.022919,20.0015
0.022981,18.0941
0.023043,17.4081
0.023104,14.6885
0.023166,13.1621
0.023228,9.9432
0.023289,8.6667
0.023351,7.0000
0.023412,3.6667
0.023474,2.6667
0.023536,2.6667
0.023597,3.1266
0.023659,2.6667
0.023720,2.6667
0.023782,2.6667
0.023844,2.6667
0.023905,0.5182
0.023967,1.5298
0.024028,3.2082
0.024090,5.7021
0.024152,8.1295
0.024213,10.3843
0.024275,12.2547
0.024337,13.9330
0.024398,17.3333
0.024460,19.0437
0.024521,18.6089
0.024583,18.5895
0.024645,19.0087
0.024706,19.3275
0.024768,20.1980
0.024829,20.8714
0.024891,21.3561
0.024953,20.4236
0.025014,18.7259
0.025076,17.6807
0.025137,15.7482
0.025199,14.9830
0.025261,14.9675
0.025322,14.8093
0.025384,11.6705
0.025446,12.4605
0.025507,13.7263
0.025569,13.0000
0.025630,9.3333
0.025692,7.0000
0.025754,5.7792
0.025815,5.7986
0.025877,5.3333
0.025938,5.3333
0.026000,3.6667
0.026062,3.6667
0.026123,2.7293
0.026185,3.6667
0.026246,3.6274
0.026308,2.6667
0.026370,0.0160
0.026431,1.0000
0.026493,2.6667
0.026555,4.3333
0.026616,5.9796
