Distance_(m),Gray_Value
0.0000000,6.000
0.0000603,6.000
0.0001206,6.978
0.0001809,6.966
0.0002412,6.000
0.0003015,5.963
0.0003618,5.955
0.0004221,5.333
0.0004824,5.333
0.0005427,5.333
0.0006030,5.333
0.0006633,5.333
0.0007236,5.333
0.0007838,5.333
0.0008441,5.333
0.0009044,3.498
0.0009647,2.547
0.0010250,2.539
0.0010853,0.798
0.0011456,1.787
0.0012059,2.517
0.0012662,3.431
0.0013265,3.419
0.0013868,2.667
0.0014471,2.667
0.0015074,2.667
0.0015677,2.667
0.0016280,5.333
0.0016883,6.315
0.0017486,7.326
0.0018089,8.337
0.0018692,7.348
0.0019295,6.000
0.0019898,4.333
0.0020501,2.667
0.0021104,3.333
0.0021707,4.603
0.0022310,6.831
0.0022913,7.854
0.0023515,9.667
0.0024118,9.000
0.0024721,8.000
0.0025324,9.000
0.0025927,9.989
0.0026530,10.828
0.0027133,10.333
0.0027736,9.667
0.0028339,9.000
0.0028942,8.461
0.0029545,8.000
0.0030148,7.000
0.0030751,8.000
0.0031354,9.667
0.0031957,10.738
0.0032560,11.727
0.0033163,7.764
0.0033766,6.742
0.0034369,6.079
0.0034972,8.581
0.0035575,11.333
0.0036178,12.659
0.0036781,11.333
0.0037384,9.404
0.0037987,10.738
0.0038589,12.082
0.0039192,12.783
0.0039795,11.850
0.0040398,9.330
0.0041001,7.472
0.0041604,9.150
0.0042207,10.333
0.0042810,14.202
0.0043413,11.858
0.0044016,9.026
0.0044619,8.112
0.0045222,8.667
0.0045825,9.667
0.0046428,9.532
0.0047031,8.584
0.0047634,7.775
0.0048237,7.000
0.0048840,7.090
0.0049443,7.079
0.0050046,6.135
0.0050649,6.056
0.0051252,6.000
0.0051855,6.000
0.0052458,6.022
0.0053061,5.011
0.0053663,4.333
0.0054266,4.326
0.0054869,5.978
0.0055472,8.000
0.0056075,9.667
0.0056678,11.667
0.0057281,4.910
0.0057884,6.079
0.0058487,7.240
0.0059090,7.169
0.0059693,6.888
0.0060296,5.794
0.0060899,6.000
0.0061502,6.292
0.0062105,4.034
0.0062708,3.060
0.0063311,2.146
0.0063914,4.112
0.0064517,5.333
0.0065120,6.000
0.0065723,5.483
0.0066326,4.667
0.0066929,5.333
0.0067532,5.333
0.0068135,5.026
0.0068738,5.760
0.0069340,6.333
0.0069943,6.536
0.0070546,7.000
0.0071149,7.326
0.0071752,4.539
0.0072355,5.652
0.0072958,5.640
0.0073561,2.667
0.0074164,3.049
0.0074767,6.393
0.0075370,7.404
0.0075973,5.584
0.0076576,2.094
0.0077179,4.105
0.0077782,4.715
0.0078385,4.742
0.0078988,4.139
0.0079591,4.150
0.0080194,4.835
0.0080797,5.989
0.0081400,7.483
0.0082003,6.000
0.0082606,4.667
0.0083209,3.667
0.0083812,1.667
0.0084414,0.573
0.0085017,0.584
0.0085620,0.596
0.0086223,2.225
0.0086826,3.521
0.0087429,5.506
0.0088032,7.000
0.0088635,7.348
0.0089238,7.000
0.0089841,5.674
0.0090444,5.581
0.0091047,6.303
0.0091650,7.000
0.0092253,7.000
0.0092856,6.000
0.0093459,6.000
0.0094062,7.000
0.0094665,10.667
0.0095268,12.000
0.0095871,14.142
0.0096474,12.404
0.0097077,12.000
0.0097680,12.000
0.0098283,13.000
0.0098886,14.000
0.0099488,14.049
0.0100091,13.180
0.0100694,14.457
0.0101297,15.408
0.0101900,17.000
0.0102503,16.000
0.0103106,14.333
0.0103709,13.401
0.0104312,14.408
0.0104915,15.393
0.0105518,20.356
0.0106121,20.333
0.0106724,20.000
0.0107327,19.333
0.0107930,18.333
0.0108533,18.333
0.0109136,18.367
0.0109739,19.682
0.0110342,22.094
0.0110945,23.667
0.0111548,23.719
0.0112151,23.727
0.0112754,24.434
0.0113357,24.446
0.0113960,25.333
0.0114563,25.333
0.0115165,23.375
0.0115768,22.404
0.0116371,22.775
0.0116974,21.906
0.0117577,21.921
0.0118180,22.670
0.0118783,24.142
0.0119386,24.891
0.0119989,29.236
0.0120592,28.247
0.0121195,27.333
0.0121798,27.333
0.0122401,27.333
0.0123004,28.000
0.0123607,29.697
0.0124210,30.685
0.0124813,30.326
0.0125416,29.000
0.0126019,27.333
0.0126622,26.333
0.0127225,25.667
0.0127828,24.667
0.0128431,24.404
0.0129034,23.858
0.0129637,23.446
0.0130239,23.049
0.0130842,23.041
0.0131445,23.884
0.0132048,23.566
0.0132651,22.547
0.0133254,21.700
0.0133857,20.513
0.0134460,20.333
0.0135063,21.000
0.0135666,22.352
0.0136269,23.206
0.0136872,23.217
0.0137475,22.375
0.0138078,21.000
0.0138681,19.944
0.0139284,18.944
0.0139887,18.393
0.0140490,18.333
0.0141093,18.086
0.0141696,17.307
0.0142299,16.318
0.0142902,13.670
0.0143505,13.333
0.0144108,14.333
0.0144711,13.333
0.0145313,11.000
0.0145916,8.614
0.0146519,7.667
0.0147122,7.667
0.0147725,8.333
0.0148328,7.667
0.0148931,8.442
0.0149534,9.311
0.0150137,10.127
0.0150740,10.824
0.0151343,11.034
0.0151946,11.052
0.0152549,9.509
0.0153152,9.521
0.0153755,7.865
0.0154358,7.000
0.0154961,6.888
0.0155564,6.000
0.0156167,5.000
0.0156770,4.386
0.0157373,4.333
0.0157976,3.390
0.0158579,0.045
0.0159182,1.667
0.0159785,3.333
0.0160388,3.333
0.0160990,2.667
0.0161593,1.026
0.0162196,1.090
0.0162799,1.846
0.0163402,1.787
0.0164005,3.483
0.0164608,6.180
0.0165211,7.210
0.0165814,6.180
0.0166417,6.202
0.0167020,6.300
0.0167623,7.453
0.0168226,11.640
0.0168829,13.221
0.0169432,13.547
0.0170035,13.322
0.0170638,14.434
0.0171241,14.824
0.0171844,16.333
0.0172447,16.404
0.0173050,15.266
0.0173653,17.453
0.0174256,21.491
0.0174859,24.281
0.0175462,27.232
0.0176064,27.176
0.0176667,26.210
0.0177270,25.839
0.0177873,29.285
0.0178476,31.596
0.0179079,31.210
0.0179682,30.172
0.0180285,29.494
0.0180888,29.345
0.0181491,31.727
0.0182094,33.689
0.0182697,34.247
0.0183300,35.476
0.0183903,37.382
0.0184506,39.479
0.0185109,41.285
0.0185712,40.951
0.0186315,40.150
0.0186918,39.412
0.0187521,40.007
0.0188124,39.663
0.0188727,39.333
0.0189330,40.315
0.0189933,41.022
0.0190536,41.030
0.0191138,40.963
0.0191741,39.659
0.0192344,38.079
0.0192947,39.880
0.0193550,40.464
0.0194153,41.539
0.0194756,41.655
0.0195359,42.105
0.0195962,43.757
0.0196565,45.135
0.0197168,46.839
0.0197771,46.288
0.0198374,46.296
0.0198977,45.629
0.0199580,46.300
0.0200183,45.375
0.0200786,44.809
0.0201389,43.393
0.0201992,44.925
0.0202595,45.090
0.0203198,46.041
0.0203801,45.622
0.0204404,46.307
0.0205007,46.131
0.0205610,48.734
0.0206213,49.858
0.0206815,45.356
0.0207418,44.655
0.0208021,46.075
0.0208624,45.970
0.0209227,46.539
0.0209830,45.753
0.0210433,46.367
0.0211036,44.693
0.0211639,48.554
0.0212242,47.667
0.0212845,48.734
0.0213448,47.779
0.0214051,48.734
0.0214654,47.667
0.0215257,48.633
0.0215860,47.622
0.0216463,48.888
0.0217066,47.850
0.0217669,46.794
0.0218272,45.753
0.0218875,45.326
0.0219478,44.337
0.0220081,43.262
0.0220684,42.921
0.0221287,39.333
0.0221889,39.243
0.0222492,39.090
0.0223095,38.738
0.0223698,38.442
0.0224301,38.794
0.0224904,38.697
0.0225507,36.794
0.0226110,34.929
0.0226713,34.000
0.0227316,34.236
0.0227919,34.082
0.0228522,33.333
0.0229125,31.757
0.0229728,30.906
0.0230331,30.277
0.0230934,29.281
0.0231537,26.427
0.0232140,22.022
0.0232743,18.109
0.0233346,14.884
0.0233949,12.547
0.0234552,12.172
0.0235155,10.236
0.0235758,7.120
0.0236361,6.539
0.0236963,5.970
0.0237566,5.996
0.0238169,6.584
0.0238772,7.416
0.0239375,8.255
0.0239978,8.277
0.0240581,4.655
0.0241184,5.494
0.0241787,5.506
0.0242390,7.000
0.0242993,7.472
0.0243596,8.307
0.0244199,8.599
0.0244802,10.625
0.0245405,11.139
0.0246008,13.026
0.0246611,13.007
0.0247214,14.262
0.0247817,17.255
0.0248420,19.199
0.0249023,22.839
0.0249626,25.828
0.0250229,30.225
0.0250832,32.551
0.0251435,36.438
0.0252038,39.303
0.0252640,42.569
0.0253243,45.187
0.0253846,47.873
0.0254449,49.775
0.0255052,52.569
0.0255655,54.494
0.0256258,56.423
0.0256861,58.019
0.0257464,59.015
0.0258067,59.494
0.0258670,60.206
0.0259273,60.506
0.0259876,59.562
0.0260479,60.618
0.0261082,61.757
0.0261685,63.206
0.0262288,64.375
0.0262891,66.071
0.0263494,66.086
0.0264097,65.446
0.0264700,66.116
